account_number,bank_code,amount,reference_id
Z0VS381L,002,495050.55,BAD840029
AV9X1SE3KSHZ,232,466556.88,TX590555
WL715,002,265262.32,BAD119781
BE05FDRG6WBIQG1N,,447219.05,TX165614
9GO6MC,214,432879.03,BAD738843
OFAK02N30R,058,383283.97,TX591945
8791988146,001,355553.64,TX420188
MV9IZ#IHGG3,082,253033.82,BAD647736
V0G4GCIUFSC,044,485446.76,TX626500
765905095,214,75993.3,TX378534
DE28YVIU41J6CY8JGVDUUG,,496639.29,TX183950
JA501219,002,257896.23,
FR32ZLYDML4PQ33AUSB64ZYFBOB,,403506.28,TX833966
950236552,215,412846.89,TX485446
XAT7N74N,044,385400.85,TX884543
ES45OIZX36XPOZGPBD5514JB,,416427.76,TX806070
NL47AFJNVYNSVANRA2,,489836.23,TX549607
70427466444,070,336033.99,TX255710
7716030,003,281977.34,BAD283074
T705TLF4GZ,215,37526.48,TX177032
483970738,215,18268.73,TX644265
772936624642,003,4221.84,
4023043793,001,311837.44,TX701328
175466824,232,424055.05,BAD815523
8241209895,001,243227.07,
263824977,058,414252.53,TX171239
7L0658KWI,082,174953.1,BAD258575
CH985XD6VP7RUQIRVX4ES,,435266.15,TX133501
4110397709,001,-100,BAD677569
SMBYDYWCS7,070,223170.78,BAD179039
ASA5UV,044,428603.5,BAD706025
7KFAQ8VE,214,226537.44,TX921194
9TW4NLSRDPRL,232,446673.87,TX602821
772101116840,003,100028.3,TX329455
CH12NE5YGGZ5C26K6YFO1VF,,444135.36,BAD997647
7FO5KPL,058,247512.28,BAD787167
269465832065,232,107939.42,TX438318
1116850080,215,120379.48,TX476714
76DAGC6Q,232,100000000.0,BAD612723
I4Y$NNU27Y,044,177132.68,BAD999749
0032466010CN,082,69042.73,BAD466534
56S2B9X87CD,232,285067.03,
7867604691,070,133748.2,TX557977
480746264,214,234672.51,TX826978
0725572580,232,411405.52,TX784670
SFAB5SXYTKWV,070,234173.02,TX915449
SE56HV0W06JANUKNQLHOPT,,105736.37,BAD100826
772454106495,003,225038.38,TX868894
4604923,001,325737.96,BAD665397
5W1RM40545V,232,267583.38,TX677429
WU2ZCOBA,070,489026.51,TX174044
TV7SP3S0KQ9W,044,216035.55,TX297634
81611177973,082,307190.2,TX129254
5191731305,044,8930.37,TX203280
FR74UPW27QXYNMR7V1RJMF41N2K,,205540.0,TX261940
9430431027,001,141806.04,TX867797
772634586227,003,471429.2,TX122219
TLJYQ8KV1OI1,082,193614.25,TX665512
8717647992,001,65539.16,TX954530
LXIER64HTQ,232,46100.51,TX355626
68937768,215,347307.9,
5G2Q5O53,082,287357.29,TX987774
73702986,044,276242.14,TX755860
10943,001,279397.09,BAD623453
775ILB4JK,214,26386.04,TX268648
FR86VSMYXSFZLWT2Q8VPV2B2STU,,362892.16,TX552254
1236157778Y6O,001,169359.35,BAD131955
99231322,214,218493.76,TX839598
2080613,001,77501.41,BAD533488
GNTVDK56,214,433832.43,BAD556620
NL65BF3YZAF2TXKMGA,,124046.53,TX174496
ZXQLL423RJN7,044,346990.48,BAD646395
E8Y6KLW37,082,-100,BAD699602
14282432377,058,273865.85,TX618542
054413916,232,409013.75,TX250737
MI167102,002,455727.72,TX714777
67431665,070,285611.73,TX109680
UIHWMV08KP,214,100000000.0,BAD850944
0591016,070,446913.71,BAD647200
PL28XMSOYTZL8H8383K3TD1ZEVKH,,74000.68,TX362684
PL20DE2Y22YMMKEGX2EXDXZASHI8,,137398.27,TX888936
LI277762,002,264371.29,TX180024
127575738,082,60656.68,TX449014
PL30WRXOQ6GCHTHPU2GAD120K,,83101.2,BAD146155
RKMUUW29QFT4,214,390848.79,BAD314026
265127167,232,280006.53,TX977782
SA039766,002,399191.16,
776999483828,003,34022.98,TX162425
GOUM38I7A1T,214,365470.96,TX424016
125379446260,215,110774.0,TX631268
BE51AIECBAXL6OI4,,210259.49,TX388405
XK4EUJUXSM,070,310431.22,
28K780QPD,215,450336.99,TX607525
PL37UUTRBQ198JB3FLIMY5L3U689,,484702.61,TX788842
5OOOT6SCGB,070,39937.11,TX305745
LL224270,002,411750.11,TX332724
776620993814,003,115341.18,
3291679342,001,399139.1,TX724856
LFDWCOQF6C,082,94807.45,TX102294
8WKO8EPS,058,410446.74,TX472315
8480479687,001,39180.48,TX478670
842476809295,215,57749.08,TX168551
IT25DIGYSLRZ4L7AUSHQRBY6BGN,,275751.2,TX468354
FR62FH6DRO2VYH5H5BK9MQ6RAW3,,178955.97,BAD578902
IT6809AUYUOYS3K4D05C4PPD8S0,,212200.78,TX661080
255697176,214,0,BAD569480
UX6Y7S5XA,215,420027.89,TX264494
NL51MYD8RSLMRLXREO,,118823.26,TX330122
X10QNZV0H5CK,070,176782.86,BAD236125
76559653,082,150167.92,TX975344
TN138436,002,83018.64,BAD191675
IM0WMXNTCLYI,215,404126.82,BAD139401
7438971992,001,416849.35,TX367872
770766183475,003,373394.41,
TN510334,002,113850.01,TX937337
9968307973,001,413156.53,TX277035
18842,058,199546.46,BAD202528
K69X374LQDP,232,457747.82,TX943831
KU257430,002,424846.75,TX553068
L82LLEXTIB5W,070,116936.0,TX129254
BE50FWJ1YL8O8FB,,366434.61,BAD612010
DE139H01FK98HTNPLYZW2H,,401293.22,TX755642
3759787645,215,348721.87,TX631132
777696546692,003,307838.03,TX430435
LPF4TLU9,232,356548.44,TX627165
13006291,215,192668.74,TX305745
KGJ31VCD,070,259517.49,TX674842
9OT1UEKKV,044,291398.62,BAD582861
5855144,001,342781.04,BAD941112
PL13CQJV9WKZU4TTV3GWYDCVZJ9H,,143256.23,TX249381
IS24194,002,202096.44,BAD240729
QEVQ0JQX8W7,044,67019.41,TX944262
775783729390,003,37380.11,TX612573
935573197468,082,-100,BAD487116
0572465,070,90266.98,BAD850376
790455512604,044,42109.74,TX980225
SE25Y84HNG1NVPFCJN45R,,369363.7,BAD293516
NF601697,002,1496.99,TX855966
433927117252,232,117115.03,TX954404
75276172026,214,465077.67,TX941416
ES65G6T4S48COCBEWBVBDXNI,,20624.31,BAD556221
YQ05Q9CU6,232,213154.54,TX447922
SE84ZB1QTISO84KWNLRYRWLH,,135992.23,TX896135
217421334916T7IJ,070,368731.06,BAD754249
B2H1BMFXL,232,309973.99,TX589667
777175107908,003,477251.67,TX674842
MISMPTE8,082,100000000.0,BAD943730
673457755501QJL0,070,476033.24,BAD666868
06873420,214,389483.29,TX783368
41849,058,117588.84,BAD413445
ZXZLMBV,058,332033.71,BAD597795
8033756704,001,305465.18,
66633257309,214,363706.8,TX196825
IT72KQC77CSNPDG9Z4B4XMT855A,,452426.66,BAD554543
1527260754,044,3426.36,TX906263
779944953794N,003,80848.57,BAD437582
QM21JOR1V,232,123367.16,TX175575
CH42K8ARIO8K3BL1VDDQO,,463657.23,TX102583
GPV#6XU8PX8S,044,156197.37,BAD758167
ES8995R0TNANOL66LU3RTQWQ,,161941.95,BAD153096
9930002218,058,301853.61,TX862879
NL1195T5WAUIHKPLED,,378265.7,TX954404
531424943570,215,216884.47,TX224116
WLVT1Q24,232,36174.31,TX138689
72055138,070,496581.24,
SO265319,002,409239.43,TX811843
6KJFF,232,397460.72,BAD462496
VW6PE5YR,082,46514.97,TX893303
SE9460E9CAMAK88V02FKSQII,,45608.46,TX945402
ZM1TR13HTNG,058,17189.19,TX145554
ES91X1CC1RTUNM494631NMV8,,341750.22,BAD128774
58799198B,070,191900.7,BAD838322
0498686138,070,-100,BAD681398
DE30CHKC9OX7QU7SPYV,,297233.78,BAD842472
R4JHJRMJYONMN,232,93578.5,BAD327794
06899693,215,231922.96,TX614079
776718778214FH6Q,003,20060.46,BAD945108
1099641852,214,396698.43,TX189851
EE6B9K2B,082,-100,BAD166350
YZSDCWJ0N,058,416314.96,TX328189
QA544696,002,0,BAD391039
MIKXVG7M00P,082,417376.18,TX110606
5086675187,215,283326.46,TX994367
LFPDUKD7WRUK,044,99836.79,BAD897199
5541843492,001,338686.51,TX148858
CM9NHE8OD0,044,73990.51,BAD854929
YPOPUV12,058,191177.22,TX562231
1717626210,232,383677.96,
XY9#IHII,002,323039.77,BAD750575
CH43ARTGYGEJ1AXKS60DP,,244578.52,TX216597
YE0ZVQIRN,082,258952.6,TX261488
644013338936,215,269443.3,TX902908
XA647851,002,377035.4,TX554213
0F7JRL6MY690,232,366803.97,BAD251716
WQXJWD2P,215,427022.98,TX968613
#9P08PULS5HB,070,193055.58,BAD611022
DQ308805,002,334919.98,TX440614
I2WFBVCURGCQ,082,55581.88,TX658629
NL34Q2NI553WDZYKTR,,243057.53,TX878224
B803@5ZJK00,070,430882.01,BAD520289
OR525661,002,190790.49,
RPYEDOIOX,082,126406.53,TX998551
CH64B8QASCXMP1F9TM5R6,,343002.91,TX613722
SE34FPVDTLE0KK43TI0ZAFX3,,355678.97,TX177355
YK213628,002,206728.33,TX316800
ENPLY4I36LB,232,431501.19,BAD815819
ES475HG6XBSEBTAATRM9BBFS,,420562.18,TX951683
IT62UB660O85CWWW64A0U186B5F,,117870.44,TX947963
NL26RNGTCMDDW0EZ0U,,462557.66,TX517007
P18FIY5ODE4D,232,74892.23,TX504840
17203657,070,259522.81,
YEF1WVGVEKN,044,230198.45,TX516766
CH54Q9FC985AL0QGSA1NJ,,385308.69,TX886673
PL442IZ8LRTGJ8VNS1W0H7WMF7A4,,401717.34,BAD742366
HJL8AET4MV4N,214,78604.73,TX855966
66CNRU6G3R4,044,378396.11,TX663933
6799093429,001,291131.45,TX807272
ES17AJ62JFXAH52GQ6OGELV6,,174914.25,TX347926
772980840674,003,59033.1,BAD631278
03374,215,146151.86,BAD195780
5753091072,044,89901.56,BAD360237
GB729QSXV9ZPULT1AL8SZI,,452431.99,TX246373
502125444250,082,279254.98,TX946175
5HERAC85C,058,461955.49,TX290066
NL85YPX0GWLAVVF3DB,,479976.68,TX741750
772427902122,003,253660.86,TX338024
HX533175,002,63368.11,TX132060
XW60M7H1DI8,058,188690.87,TX841102
5Y4SG3G5$YZI,214,436421.28,BAD593488
2760927533,001,44100.92,TX636061
5N3HJL2TM@LZ,082,274158.57,BAD950879
78716063673,044,46609.86,BAD597279
09699552,044,481017.42,TX658326
1732393690,001,190671.34,BAD370014
74358522971VRB,001,239780.2,BAD412866
CH220J9P306WNBSZ0AM78,,290109.69,TX184266
FR42NX87YBN0LANSXF60J9Y8UA0,,308330.87,TX952110
934077819,214,206793.91,TX592981
P1TVN0869EJG,232,486585.8,TX250902
ENKPTYVSWB,058,256939.95,TX774563
470474793816UZB,214,294000.93,BAD981714
DE33JVTJ5U05SEZMNZLGM7SH8,,323105.68,BAD314225
0SG6Y8IYGW,215,494159.95,TX867175
47299580529,044,210923.88,BAD764124
884614,232,270280.94,BAD388076
149875328,058,280838.32,TX590555
772143809551,003,204978.02,TX667525
IT02LFCW7OHP5T1UOR6MGWQJ49V,,427940.23,TX768372
69827431,082,220914.36,TX624703
SJ5UK57EH2,082,213323.82,TX774563
4GW0SF$Q,001,466001.2,BAD402357
BE851V6KTBJEQVRO,,278949.58,TX354417
778497888158,003,215208.06,TX579613
CH6069ZSPY1Z7X30NI8G3,,293447.82,TX763295
29461100320,058,310728.25,TX802988
JF9MBV33MHS,058,100000000.0,BAD698654
178197995,232,374448.64,BAD367894
9191159052,001,452835.9,TX576727
3490395110,001,458645.96,TX891515
Y328OC7MZG,232,210599.58,TX335436
NZ5GNLO9J$U,002,5949.72,BAD530523
I57LEU72IBPN,082,369847.52,TX695987
018133501,058,2901.19,BAD314850
1024731666G,001,45847.68,BAD888617
IT8638D5CG9B9UVE38USQ6IP6R8,,173169.89,TX813248
IPXDRZDG9I9,232,60918.72,TX376396
EXAW7HUEPZ,044,171049.25,TX372320
4457751973,001,51166.42,TX790017
IJDL1KXMOB6,070,487936.32,BAD865766
56934,058,11876.02,BAD442569
809928627626,070,269683.46,TX781073
929615312,070,386918.98,TX486285
FR07SN4VW6FO6DZQFM0MWUV5Z7Q,,464722.16,TX293485
GV9MRTECD,215,323877.17,TX731900
775215261507,003,212901.63,TX231018
776871530443,003,296396.9,TX944262
BZNWOANT20DU1X,058,38938.19,BAD983407
LQ349897,002,349107.26,TX743495
BE72C4D0ES17ESR1,,409061.18,TX321953
BA016398,002,481094.92,TX392968
XO568644,002,328655.2,
ID231447,002,256512.03,TX210393
SV204264,002,436067.58,TX686556
IN763556,002,121485.75,TX913382
FC185194MR5,002,358847.9,BAD301227
8742106852,215,97964.19,TX451817
DPD2PIYZY,044,356229.97,TX534867
6192057,232,379522.76,BAD133833
050973311677,214,24022.25,TX704107
4620829459,232,65780.2,
Z3TXF2OIT9AK,214,110798.13,TX517914
08819645508,232,371906.84,TX328189
FR10XQG9TD8WVDR99ZSJ1OT70QE,,298987.15,TX346781
WRWB2O1DPW5S,214,423090.93,TX121334
0554336875,044,-100,BAD698542
6SBSAPZM,214,0,BAD161580
ES21SKW1GYHEX95XI0LOLQI4,,326229.88,TX247297
RN921303,002,272980.65,
CVTBCH0XOI,215,111142.8,TX538810
ES28NQJJL4D3KI9SE6Q1TA4B,,133705.07,TX395423
773023263022,003,44153.65,TX902321
SE18J1AL7LLY6AW4W4J0LQW1,,108628.51,TX653350
ES51D3L592R9MQ8BS31O7C29,,57668.78,TX210708
GB74YVUY6GJDMCHJZJI1GT,,230316.24,TX102970
YAFXW7SL8,058,48558.19,TX357110
773761059674,003,65665.14,BAD675953
ES22Q8G0RB52FGC2D5OWW5WY,,7081.61,TX389116
971000621,215,495998.74,
601589547322,082,381619.57,TX500399
BE30ESB8ZQP9MI7P,,173599.49,TX723869
SE36SR00C16IXQC9DQQORTFA,,145034.33,TX377300
6358745729,001,388300.41,TX987005
HX997178,002,43820.03,TX415913
746355158196,232,104297.73,TX268265
CH06T2MJ5C3OUUQ5P21HF,,442782.21,TX185427
NL55ROUGY31L85G1N7,,102462.25,TX481587
SP794076,002,30112.71,TX946166
RS650879,002,390622.82,BAD861590
DE14H44TTP8VP7L8PAYHRU,,154483.77,BAD849984
47956304718,044,43810.68,TX367408
457179281055,044,144907.19,TX862571
IT033993,002,52052.1,
4F1LI01W2,002,83639.75,BAD761138
NC055952,002,184035.78,TX164395
24SCHCYJ8F,232,70189.61,TX711939
EV267577,002,6537.51,TX487849
